cyc,freq,Charge Time,Wiggle Time,Pulse Time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
43,44.83,0.55,0.31,0.12,1.4,43,36200.8,-0.451354,60.3538,13.8768,78.8555,-0.888556,775.366,317.647,1.36569,-2.58669,-1.8457,-1.1254,0.869113,-0.767747,5909.78,-0.565651,31764.9,49691.8,1.37053,-2.58185,-1.83603,-1.12057,0.873948,0.44261,5910.86,-0.485885,31766,0.136211,1.00014,-2.81772e-05,43394.7 
44,44.806,0.67,0.19,0.12,1.4,44,33145.6,-0.102207,55.6642,13.6952,78.7028,0.00831026,-206.442,14.3213,-1.4017,0.460712,1.972,2.36533,-0.348533,-33.9182,1245.73,-82.3715,33419.7,24872.3,-1.18813,0.674286,2.39915,2.57891,-0.134959,0.445828,1293.31,-78.8476,33467.2,0.0317106,1.11943,-0.00435885,40784.6 
45,44.836,0.71,0.15,0.12,1.4,45,33235,-0.198314,55.9439,13.7388,78.7618,-0.233121,510.585,500,-0.748128,0.645577,2.64185,1.29711,-1.04001,-6.08433,960.268,-116.572,33925.2,28895.3,-0.709816,0.683888,2.71848,1.33542,-1.0017,0.101706,968.801,-115.94,33933.7,0.0236232,1.26491,-0.00633373,41010.6 
46,44.821,0.55,0.31,0.12,1.4,46,36455.5,-0.420634,62.149,13.509,78.8093,-0.166395,109.136,61.0978,-0.909783,0.797486,1.30743,-0.253314,-0.526745,-18.6682,6933.45,4.1715,30984,27921.9,-0.792234,0.915035,1.54253,-0.135765,-0.409196,-0.376805,6959.63,6.11106,31010.2,0.159802,0.998466,0.000362884,43551.7 
47,44.818,0.51,0.35,0.12,1.4,47,35426.7,-0.451681,59.0435,13.9006,78.8999,-0.134561,174.284,3.4596,-0.962678,0.454163,8.85304,0.297608,-0.18453,13.7585,5530.72,-14.1509,31285,27481.3,-1.04931,0.36753,8.67977,0.210974,-0.271164,-0.0934732,5511.42,-15.5803,31265.7,0.129971,1.00497,-0.000918801,42405 
48,44.824,0.67,0.19,0.12,1.4,48,34275.3,-0.10418,59.6851,13.1544,78.8256,-0.0561684,7.04052,500,-2.78028,4.13965,0.497464,1.36635,2.78894,17.4491,5856.22,-11.8683,30065.2,25571.2,-2.89015,4.02978,0.27772,1.25648,2.67907,0.948118,5831.75,-13.6812,30040.8,0.141273,1.00412,-0.000839639,41279.8 
49,44.815,0.47,0.39,0.12,1.4,49,33791.7,-0.00828436,57.4739,13.4516,78.7122,-0.0536175,66.2405,499.989,-1.87006,-2.03063,-1.12109,0.489957,3.67489,-0.948809,4418.71,-48.2221,30992.9,25283.1,-1.86408,-2.02466,-1.10914,0.495931,3.68087,-0.350826,4420.04,-48.1235,30994.2,0.107824,1.01942,-0.00286837,40993.2 
50,44.803,0.63,0.23,0.12,1.4,50,31957.5,-0.105675,54.4925,13.5324,78.7349,5.72506,-3635.77,499.967,0.272115,-1.0917,1.99465,2.59659,1.074,-43.7776,684.831,-102.03,33013.5,701601,0.547771,-0.816045,2.54596,2.87225,1.34966,0.608289,746.233,-97.4819,33074.9,0.0187615,1.29635,-0.00545889,39774.6 
51,44.827,0.67,0.19,0.12,1.4,51,33133.1,-0.409554,60.3206,12.7012,79.1308,0.0993716,-318.242,333.455,0.833281,3.06958,2.84592,3.29737,3.24492,-32.9998,12441.3,107.513,22325.3,25970,1.04107,3.27737,3.2615,3.50516,3.45271,0.775654,12487.6,110.941,22371.6,0.321133,0.984691,0.00905238,38886.1 
52,44.818,0.67,0.19,0.12,1.4,52,35675.2,-0.467489,61.0539,13.5607,78.731,-0.103816,404.345,104.176,2.90264,2.55072,2.23394,0.559798,2.30903,6.68376,6037.39,-16.797,31253.9,28318.5,2.86055,2.50864,2.14976,0.517712,2.26694,0.791358,6028.01,-17.4914,31244.6,0.140524,1.0051,-0.00103232,42896.6 
53,44.821,0.67,0.19,0.12,1.4,53,33863,-0.172225,57.22,13.7014,78.6982,-0.164927,207.197,499.999,2.53383,6.51723,3.70235,2.9408,4.88978,-41.3489,2253.09,-70.6808,33306.4,26634.1,2.79419,6.77759,4.22308,3.20116,5.15014,0.809309,2311.09,-66.3848,33364.4,0.055447,1.05293,-0.00367871,41681 
54,44.827,0.47,0.39,0.12,1.4,54,33718.6,-0.44139,60.4414,12.9461,78.907,-1.61282,-5314.24,30.1243,0.685716,-0.109515,3.66182,1.6553,0.728936,-72.2921,11908.4,88.8481,23535.9,304484,1.14092,0.345689,4.57223,2.1105,1.18414,0.511173,12009.8,96.3589,23637.3,0.300984,0.986154,0.0074535,39901.8 
